file	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	cabtokens	dialect	perspective	quotes
rwk_mkhz_10033-1.tsv	MT_1884_10_06.txt_6.xml	1884	1880	mkhz.maehrisches	Undefined	Undefined	yes	Rezension	no	561	no	first	undef
rwk_mkhz_10039-1.tsv	MT_1885_08_03.txt_11.xml	1885	1880	mkhz.maehrisches	Undefined	G.L.	no	Reisebericht/Brief	yes	600	no	first	german
rwk_mkhz_1012-short.tsv	nn_auswandererzeitung037_1852_7.xml	1852	1850	mkhz.auswandererzeitung	Colonisationsprojekt von Santa Cruz in der Provinz Rio Grande do Sul in Brasilien	Undefined	no	Reportage	no	432	no	first	german
rwk_mkhz_10205-1.tsv	MT_1889_02_18.txt_7.xml	1889	1880	mkhz.maehrisches	Undefined	Undefined	yes	Erzähltext	yes	562	no	first	german
rwk_mkhz_10352-1.tsv	MT_1892_10_24.txt_8.xml	1892	1890	mkhz.maehrisches	Undefined	Undefined	yes	Erzähltext	yes	642	no	first	german
rwk_mkhz_1037-1.tsv	nn_auswandererzeitung038_1852_3.xml	1852	1850	mkhz.auswandererzeitung	Undefined	Undefined	no	Unsure	no	593	no	first	none
rwk_mkhz_10409-1.tsv	MT_1893_12_29.txt_3.xml	1893	1890	mkhz.maehrisches	Paulla. Capriccio von Norbert Falck.	Falck, Norbert	yes	Erzähltext	yes	618	no	first	german
rwk_mkhz_1366-short.tsv	nn_auswandererzeitung100_1852_4.xml	1852	1850	mkhz.auswandererzeitung	Die Auswanderung aus China.	Undefined	no	Reportage	no	454	no	first	german
rwk_mkhz_2460-short.tsv	nn_chronik006_1845_4.xml	1845	1840	mkhz.chronik	Undefined	Undefined	no	Kommentar	no	355	no	first	undef
rwk_mkhz_2739-1.tsv	nn_europa0106_1905_16.xml	1905	1900	mkhz.europa	Undefined	Undefined	no	Kommentar	no	589	no	first	german
rwk_mkhz_2740-1.tsv	nn_europa0106_1905_17.xml	1905	1900	mkhz.europa	Undefined	Undefined	no	Kommentar	no	575	no	first	german
rwk_mkhz_2754-short.tsv	nn_europa0108_1905_12.xml	1905	1900	mkhz.europa	Undefined	Undefined	no	Kommentar	no	346	no	first	german
rwk_mkhz_2757-1.tsv	nn_europa0108_1905_15.xml	1905	1900	mkhz.europa	Undefined	Undefined	no	Rezension	no	581	no	first	german
rwk_mkhz_2776-short.tsv	nn_europa0108_1905_8.xml	1905	1900	mkhz.europa	Renaissance innerlicher Kultur.	Wille, Bruno	no	Reportage	no	359	no	first	german
rwk_mkhz_2781-short.tsv	nn_europa0110_1905_12.xml	1905	1900	mkhz.europa	Undefined	Undefined	no	Reisebericht/Brief	yes	482	no	first	german
rwk_mkhz_2808-short.tsv	nn_europa0113_1905_18.xml	1905	1900	mkhz.europa	H.v. Budde	Michalski, Heinrich 	no	Reisebericht/Brief	no	269	no	first	undef
rwk_mkhz_2848-1.tsv	nn_europa0114_1905_37.xml	1905	1900	mkhz.europa	Undefined	Undefined	no	Kommentar	no	636	no	first	german
rwk_mkhz_2848-2.tsv	nn_europa0114_1905_37.xml	1905	1900	mkhz.europa	Undefined	Undefined	no	Kommentar	no	582	no	first	german
rwk_mkhz_3284-1.tsv	nn_maerkische029_1851_6.xml	1851	1850	mkhz.maerkische	Bekanntmachung.Bekanntmachung.Aufgebot.Königl.Kreisgerichts	Undefined	no	Anzeige	no	593	no	first	undef
